substance,interactant,niveau,description,conduite
AMIODARONE,ANTIVITAMINES K,PE,Augmentation de l'effet de l'antivitamine K et du risque hémorragique.,Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'antivitamine K pendant le traitement par l'amiodarone et jusqu'à 4 semaines après son arrêt.
AMIODARONE,BÊTA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL) (Y COMPRIS COLLYRES),PE,Troubles de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).,Surveillance clinique et ECG.
AMIODARONE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,PE,Troubles de l'automatisme et de la conduction cardiaque avec risque de bradycardie excessive.,Surveillance clinique et ECG régulière.
AMIODARONE,CICLOSPORINE,AD,"Augmentation des concentrations sanguines de ciclosporine, par diminution de son métabolisme hépatique, avec risque d'effets néphrotoxiques.","Dosage des concentrations sanguines de ciclosporine, contrôle de la fonction rénale et adaptation de la posologie de la ciclosporine pendant le traitement par l'amiodarone."
AMIODARONE,COBICISTAT,CI,Risque de majoration des effets indésirables de l'amiodarone par diminution de son métabolisme par le cobicistat.,
AMIODARONE,DABIGATRAN,PE,"Augmentation des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.","Dans l'indication post-chirurgicale : surveillance clinique et adaptation de la posologie du dabigatran si nécessaire, sans excéder 150 mg/j."
AMIODARONE,DIGOXINE,PE,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la digoxinémie par diminution de la clairance de la digoxine.","Surveillance clinique, ECG et, s'il y a lieu, contrôle de la digoxinémie et adaptation de la posologie de la digoxine."
AMIODARONE,DILTIAZEM,PE,"Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- ventriculaire, notamment chez les personnes âgées.","ASDEC - PE Association déconseillée avec : - le diltiazem IV Si l'association ne peut être évitée, surveillance clinique et ECG continu. avec : - le diltiazem per os Surveillance clinique et ECG."
AMIODARONE,DOCETAXEL,PE,Risque de majoration des effets indésirables du docétaxel par diminution de son métabolisme hépatique par l'amiodarone,Surveillance clinique et adaptation éventuelle de la posologie du docétaxel.
AMIODARONE,ESMOLOL,PE,"Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).",Surveillance clinique et ECG.
AMIODARONE,FIDAXOMICINE,AD,Augmentation des concentrations plasmatiques de la fidaxomicine.,
AMIODARONE,FLUCONAZOLE,PE,Risque d'allongement de l'intervalle QT.,"Surveillance clinique, particulièrement aux fortes doses de fluconazole (800 mg/j)."
AMIODARONE,IBRUTINIB,AD,Risque d'augmentation des concentrations plasmatiques d'ibrutinib par diminution de son métabolisme hépatique par l'amiodarone.,"Si l'association ne peut être évitée, surveillance clinique étroite et réduction de la dose d'ibrutinib à 280 mg par jour pendant la durée de l'association."
AMIODARONE,LIDOCAINE,PE,"Risque d'augmentation des concentrations plasmatiques de lidocaïne, avec possibilité d'effets indésirables neurologiques et cardiaques, par diminution de son métabolisme hépatique par l'amiodarone.","Surveillance clinique, ECG et éventuellement contrôle des concentrations plasmatiques de lidocaïne. Si besoin, adaptation de la posologie de la lidocaïne pendant le traitement par amiodarone et après son arrêt."
AMIODARONE,NINTÉDANIB,PE,Augmentation des concentrations plasmatiques du nintédanib par augmentation de son absorption par l'amiodarone.,Surveillance clinique pendant l'association.
AMIODARONE,OLAPARIB,AD,Augmentation des concentrations plasmatiques d'olaparib par l' amiodarone,"Si l'association ne peut être évitée, limiter la dose d'olaparib à 200 mg 2 fois par jour avec l'amiodarone."
AMIODARONE,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de l'amiodarone par diminution de son métabolisme hépatique par la bithérapie.,
AMIODARONE,ORLISTAT,PE,Risque de diminution des concentrations plasmatiques de l'amiodarone et de son métabolite actif.,"Surveillance clinique et, si besoin, ECG."
AMIODARONE,PACLITAXEL,PE,Risque de majoration des effets indésirables du paclitaxel par diminution de son métabolisme hépatique par l'amiodarone.,Surveillance clinique et adaptation éventuelle de la posologie du paclitaxel.
AMIODARONE,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",AD,"Majoration du risque de troubles du rythme ventriculaire par potentialisation des effets antiarythmiques, ainsi que des effets indésirables neurologiques, par diminution du métabolisme hépatique de la phénytoïne par l'amiodarone.",
AMIODARONE,SIMVASTATINE,PE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
AMIODARONE,SOFOSBUVIR,AD,"Survenue de bradycardie éventuellement brutale, pouvant avoir des conséquences fatales.","Si l'association ne peut être évitée, surveillance clinique et ECG étroite, en particulier pendant les premières semaines de traitement. Une surveillance continue en milieu hospitalier est requise pendant les 48 heures qui suivent la co-adminsitration. Prendre en compte la longue demi-vie de l'amiodarone chez les patients l'ayant arrêtée au cours des derniers mois et qui doivent débuter un traitement contenant du sofosbuvir."
AMIODARONE,TACROLIMUS,PE,Augmentation des concentrations sanguines de tacrolimus par inhibition de son métabolisme par l'amiodarone.,"Dosage des concentrations sanguines de tacrolimus, contrôle de la fonction rénale et adaptation de la posologie de tacrolimus pendant l'association et à l'arrêt de l'amiodarone."
AMIODARONE,TALAZOPARIB,PE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.
AMIODARONE,TAMSULOSINE,PE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.","Surveillance clinique et adaptation de la posologie de la tamsulosine pendant le traitement par l'inhibiteur enzymatique et après son arrêt, le cas échéant."
AMIODARONE,TOLVAPTAN,PE,"Augmentation des concentrations de tolvaptan, avec risque de majoration importante des effets indésirables, notamment diurèse importante, déshydratation, insuffisance rénale aiguë.",Réduire la posologie de tolvaptan de moitié.
AMIODARONE,VÉNÉTOCLAX,PE,Risque d'augmentation des effets indésirables du vénétoclax par diminution de son métabolisme hépatique.,"Surveillance clinique et biologique régulière, notamment hématologique, et adaptation de la posologie du vénétoclax."
AMIODARONE,VERAPAMIL,PE,"Pour vérapamil voie injectable : -risque de bradycardie ou de bloc auriculo-ventriculaire. Pour vérapamil per os : -risque de bradycardie ou de bloc auriculo-ventriculaire, notamment chez les personnes âgées.","ASDEC - PE Association déconseillée avec : - le vérapamil IV Si l'association ne peut être évitée, surveillance clinique et ECG continu. avec : - le vérapamil per os Surveillance clinique et ECG."
AMIODARONE,VORICONAZOLE,PE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes, par possible diminution du métabolisme de l'amiodarone.","Surveillance clinique et ECG, et adaptation éventuelle de la posologie de l'amiodarone."
AMLODIPINE,SIMVASTATINE,PE,Risque majoré d'effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d'interaction.
AMPHOTERICINE B,AMINOSIDES,APEC,Avec l'amphotéricine B administrée par voie IV : risque accru de néphrotoxicité.,
AMPHOTERICINE B,CICLOSPORINE,APEC,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous ciclosporine seule (synergie des effets néphrotoxiques des deux substances).,
AMPHOTERICINE B,TACROLIMUS,APEC,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances).,
AMPHOTERICINE B,ZIDOVUDINE,PE,Avec l'amphotéricine B administrée par voie IV : augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire).,Contrôle plus fréquent de l'hémogramme.
ANAGRELIDE,ANTIAGRÉGANTS PLAQUETTAIRES,AD,Majoration des événements hémorragiques.,
ANAGRELIDE,OMEPRAZOLE,APEC,Risque de moindre efficacité de l'anagrélide par augmentation de son métabolisme par l'oméprazole.,Préférer un autre inhibiteur de la pompe à protons.
ANAGRELIDE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,PE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",Surveillance clinique et électrocardiographique pendant l'association.
ANAKINRA,ANTI-TNF ALPHA,AD,Risque accru d'infections graves et de neutropénies.,
ANAKINRA,ETANERCEPT,AD,Risque accru d'infections graves et de neutropénies.,
ANALGÉSIQUES MORPHINIQUES AGONISTES,AUTRES ANALGÉSIQUES MORPHINIQUES AGONISTES,APEC,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINE-LIKE,APEC,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINIQUES VRAIS,APEC,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES AGONISTES-ANTAGONISTES,AD,"Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES ANTAGONISTES PARTIELS,AD,Risque de diminution de l'effet antalgique.,
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES AGONISTES-ANTAGONISTES,CI,"Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES ANTAGONISTES PARTIELS,CI,Risque de diminution de l'effet antalgique.,
ANALOGUES DE LA SOMATOSTATINE,CICLOSPORINE,PE,Avec la ciclosporine administrée par voie orale : baisse des concentrations sanguines de ciclosporine (diminution de son absorption intestinale).,Augmentation des doses de ciclosporine sous contrôle des concentrations plasmatiques et réduction de la posologie après l'arrêt du traitement par l'analogue de la somatostatine.
ANALOGUES DE LA SOMATOSTATINE,INSULINE,PE,"Risque d'hypoglycémie ou d'hyperglycémie : diminution ou augmentation des besoins en insuline, par diminution ou augmentation de la sécrétion de glucagon endogène.","Prévenir le patient du risque d'hypoglycémie ou d'hyperglycémie, renforcer l'autosurveillance glycémique et adapter si besoin la posologie de l'insuline pendant le traitement par l'analogue de la somatostatine."
ANALOGUES DE LA SOMATOSTATINE,REPAGLINIDE,PE,"Risque d'hypoglycémie ou d'hyperglycémie : diminution ou augmentation des besoins en repaglidine, par diminution ou augmentation de la sécrétion de glucagon endogène.",Renforcer l'autosurveillance glycémique et adapter si besoin la posologie de la repaglidine pendant le traitement par l'analogue de la somatostatine.
ANALOGUES DE LA SOMATOSTATINE,SULFAMIDES HYPOGLYCÉMIANTS,PE,"Risque d'hypoglycémie ou d'hyperglycémie : diminution ou augmentation des besoins en sulfamide hypoglycemiant, par diminution ou augmentation de la sécrétion de glucagon endogène.",Renforcer l'autosurveillance glycémique et adapter si besoin la posologie du sulfamide hypoglycemiant pendant le traitement par l'analogue de la somatostatine.
ANDROGÈNES,ANTIVITAMINES K,PE,Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.,Contrôle plus fréquent de l'INR. Adaptation de la posologie de l'antivitamine K pendant le traitement par l'androgène et après son arrêt.
ANDROGÈNES,INDUCTEURS ENZYMATIQUES,PE,"Risque de diminution des concentrations plasmatiques de l'androgène et par conséquent de son efficacité, par augmentation de son métabolisme hépatique par l'inducteur.",Surveillance clinique et biologique pendant l'association et 1 à 2 semaines après l'arrêt de l'inducteur.
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),PE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),PE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-mimétiques.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,PE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-stimulants.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISONIAZIDE,PE,"Potentialisation de l'effet hépatotoxique de l'isonazide, avec formation accrue de métabolites toxiques de l'isoniazide.","En cas d'intervention programmée, arrêter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours après."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISOPRENALINE,AD,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV),APEC,Décrit avec l'halothane et le cyclopropane. Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES INDIRECTS,PE,Poussée hypertensive peropératoire.,"En cas d'intervention programmée, il est préférable d'interrompre le traitement quelques jours avant l'intervention."
ANTABUSE (RÉACTION),ALCOOL (BOISSON OU EXCIPIENT),AD,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l'élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l'alcool.
ANTAGONISTES DES CANAUX CALCIQUES,IDÉLALISIB,PE,"Majoration des effets indésirables de l'antagoniste des canaux calciques, à type d'hypotension orthostatique, notamment chez le sujet âgé.",Surveillance clinique et adaptation de la posologie de l'antagoniste calcique pendant le traitement par l'idélalisib et après son arrêt.
